Identifier,Name,Downloaded,Risk
jendpielmejekmmcccnnkgckhmjfpgep,Calligra online - office_ graphics & email,5000,Leak
kkakhdcmdocechjnnfhihpjkancfmnbf,Помощник OZON,5000,Leak
lfmobnhbpkejigiaeliemikgciidndak,XPaint image editor and painter,5000,Leak
lhjgfbdmhhdmjnnjeabjclblkecbldpd,Browse.live Ad Control,5000,Leak
mmfmakmndejojblgceefkpinojhiacfk,Brave web browser,5000,Leak
apenkcejfcelomfjdnmcokpihikjonmh,Safe Browser Parental Controls,4000,Leak
gcehgkmfmfdhglfpcigmcfpbgblhldga,URIRANK - Alexa Traffic Rank,4000,Leak
hpjloodfjfnoeekpikfdedoaiklofcgl,Podawaa - Get more Engagement on LinkedIn,4000,Leak
jhlofcbpianlpdpajgfphjnjahchjcei,Music Downloader Premium,4000,Leak
kgbmammdmhpmpjhlnelelcdmomlbidkd,Give Freely_ You Save_ We Give_ Charities Win,4000,Leak
mjebgmffggocefpegddahkcnpllfmaid,Desktop for Tiktok online,4000,Leak
cgmllohkcppmnkfpijpngkplpdbikhlf,Safe Surf,3000,Leak
fbdaigphodbigaofobmhdcfncjofaffp,LibreOffice Calc online,3000,Leak
fdcmomajekgiigcalflcbjbkemogcbaf,纳米AI助手,3000,Leak
jkeolmadidncndcbnajhaojepbolajag,Lunabot - ChatGPT on any webpages,3000,Leak
keagdhckgkgmlidkekabdngbknegkmoo,LibreOffice writer online,3000,Leak
mcfleopinjndfkoklekjcjcgefgenlhp,Platstack_ The Save button for the internet,3000,Leak
megchchilhekbbnfcklodmndefbhkbco,ShopSavvy,3000,Leak
pmfdkggpmpoebkjadpfpjpidllghlhgc,Incognito History,3000,Leak
ajgkdaibodfheidcpeifpdhaopjbpneo,Presto,2000,Leak
bbnemobkpbncbpklloncaljndkagjfeh,Grips – E-commerce Site Analysis,2000,Leak
gmdmkobghhnhmipbpplibkgekdfaacjp,Handbrake - video converter,2000,Leak
hclkdpaahnpfenlibcmjnajjccpkhoak,H-E-B Credit for Chrome,2000,Leak
helpjbehgodflkpbifaolbjmkjffmeop,Crossbeam Copilot for Chrome,2000,Leak
hopmhonnajbjjdkagglbfmffmdhocbmf,GoingMed,2000,Leak
ncpaocdidimfckjmhafkpghjpedlcocc,The search engine to improve your productivity - GoSearch,2000,Leak
nhhchicejoohhbnhjpaaoajhbbghhfgh,JustParty_ watch Netflix with friends,2000,Leak
njbgkalfmgkchikknmaimfjmfjpnbnpm,Style Cursor,2000,Leak
oaafdjbfibmpcgefpapknfjcnfdkkkkp,界图-图片批量下载,2000,Leak
pefighpbbfkgkmfmpfgaopoahdmkakll,Cmd J – ChatGPT for Chrome,2000,Leak
apeadjelacokohnkfclnhjlihklpclmp,EcoIndex.fr,1000,Leak
bbioibipebcopenpbhfceogfjknmjbpl,Dealfront Connect,1000,Leak
bdppohkefepkecfipofaabjkbfdahpdl,Economize! Mundo Conectado,1000,Leak
bgiapcpcleefnmmkhaakokfbjnjjjeap,百宝箱 AI 助手,1000,Leak
cebahajfamifimbgfnilhcdlgicajmln,COUPONS.DE - Nie wieder Gutscheine verpassen,1000,Leak
celjchjgliegnlalhjegfcaacphgdkij,Blocksi AI Web Filter,1000,Leak
coegijljhiejhdodjbnlglffjomlbgmi,HashDit,1000,Leak
dbkabjeliahdblphpbgljbngijgknjfj,First Touch,1000,Leak
dpmjncncaehmgjeficalpmlfaenmbeca,Surf Security,1000,Leak
eegoohfobcaegoeoakafgiljckfiajhl,CryptoGuard - by ChainGPT AI,1000,Leak
eeobggeikihkgiggaekfbceghlcpemfm,Caddi,1000,Leak
egbpmfgojjbonjpajgjjfokblneogjpj,Manchester United Wallpapers,1000,Leak
eimafbopadiepgmnmmjgmedblhlljlad,BuddyTixx - TTM Helper 4.3,1000,Leak
fgedkelakhbadclolkemkcffklcomhhb,Cookie Decliner,1000,Leak
gdmfedbicnoeiadmbagaofgnldjfgeab,Tokopedia Price Tracker,1000,Leak
gjphikebcceegfolnbfncepfmjnhdkam,UniPass,1000,Leak
gnikbpecjfkhcfammfdpbdpnchhmmbif,Shastic,1000,Leak
himipdblnokdafogmdlmajgokiopcbjk,Словарёк,1000,Leak
jbekkbijnljlblpgjjeocbapiojilnkl,LibreOffice Impress online,1000,Leak
jbhknkdnmmcipjcfjngiojllgbgolmao,Curriculum Genie,1000,Leak
jndboabnjeeeepiipnmjnpcbgjpffikm,Giftmio_ Instant Cashback for Online Shopping,1000,Leak
jobfmpppoaapbjmgbejgdfkigomnjihe,Download-TIME v2,1000,Leak
kkfobcljflnlpbemjicenfkfnplaggkk,WithEden AI - Emoji Comment App,1000,Leak
knjfhjecbebplkalmikclbkgkmaggkci,语鲸 - 插件,1000,Leak
lhfchkmkbdmahflnpmlhaeeigenkopko,LibreOffice Draw online,1000,Leak
mhpfiackdifhfjphkicjidjlnibkfgek,Ever Accountable For Chrome,1000,Leak
nmcaaogkocnplfcpbgcihflgedicinke,Video Downloader Professional Premium,1000,Leak
nnadblfkldnlfoojndefddknlhmibjme,ChatSider_Free ChatGPT Assistant(GPT4),1000,Leak
oeomioifmeadkjdifcijpkfifjifhhhn,UpGuard Cyber Security Ratings,1000,Leak
pmpbkcpplelpcphbapailejddbcebnmb,Antidote,1000,Leak
inpnfpglfklplkhnpggbomjdfjlnldhg,Clockk,855,Leak
khldaehdjgjlmoapbegbkbmfjefoiicc,Youtube Master,826,Leak
hapjgfmddaccebjfapmnaanildedikal,Extension Super CE,815,Leak
nbmlhoalmfhbhdpngmjkjdioahnglpbj,Kdenlive video editor,814,Leak
hgechpjoacihidaifilgojfcfcobobgd,全品-音视频下载,808,Leak
ibcakdkpkhodimbhgmegdobmnemabfaa,Dark Mode Toggle Per Site,808,Leak
pfdofiecodmjocjnofddngckpaemfhag,Yandex search by image,770,Leak
